Original_Intent__c,Ext_Id__c,Utterance__c
atis_flight,a0BB0000002Yk7MMAS,show me the direct flights from charlotte to minneapolis on tuesday morning
atis_flight,a0BB0000002Yk7NMAS,show me flight us 1500 on monday from charlotte to minneapolis please
atis_flight,a0BB0000002Yk7OMAS,show me all the flights from minneapolis to indianapolis on tuesday that leave after 2 pm
atis_flight,a0BB0000002Yk7PMAS,show me the flights from minneapolis to indiana
atis_ground_service,a0BB0000002YkB0MAK,what ground transportation is available between pittsburgh airport and downtown pittsburgh
atis_flight,a0BB0000002YkB1MAK,show me the flights between pittsburgh and washington dc
atis_flight,a0BB0000002YkAzMAK,what are the flights between milwaukee and pittsburgh
atis_ground_service,a0BB0000002YkB2MAK,what ground transportation is available between dca and downtown washington
atis_flight,a0BB0000002YkB3MAK,what are the flights between dca and milwaukee
atis_ground_service,a0BB0000002YkB4MAK,what ground transportation is available between milwaukee airport and downtown milwaukee
atis_aircraft,a0BB0000002YkB5MAK,determine the type of aircraft used on a flight from cleveland to dallas that leaves before noon
atis_flight,a0BB0000002YkB6MAK,find a flight between st. petersburg and charlotte the flight should leave in the afternoon and arrive as soon after 5 pm as possible it should be a nonstop flight
atis_flight,a0BB0000002YkB7MAK,list a flight on delta airlines from toronto to san diego
atis_flight,a0BB0000002YkB8MAK,list a flight on american airlines from toronto to san diego
atis_flight,a0BB0000002YkB9MAK,list a flight from toronto to san diego
atis_flight,a0BB0000002YkBAMA0,list flights from oakland to salt lake city leaving after 1700 wednesday
atis_flight,a0BB0000002YkBBMA0,list flights from oakland to salt lake city leaving after midnight thursday
atis_flight,a0BB0000002YkBCMA0,list flights between phoenix and las vegas
atis_flight,a0BB0000002YkBDMA0,list flights from las vegas to denver
atis_flight,a0BB0000002YkBEMA0,list flights from milwaukee to washington dc before 1200
atis_flight,a0BB0000002YkBFMA0,list flights from washington dc to pittsburgh leaving after 1800
atis_flight,a0BB0000002YkBGMA0,list flights from washington dc to pittsburgh
atis_flight,a0BB0000002YkBHMA0,list flights between pittsburgh and milwaukee
atis_flight,a0BB0000002YkBIMA0,i'd like a flight to san diego from washington dc
atis_flight,a0BB0000002YkBJMA0,i'd like to fly from cleveland to dallas
atis_flight,a0BB0000002YkBKMA0,i want to fly from washington dc to phoenix arizona
atis_flight,a0BB0000002YkBLMA0,i need a flight from phoenix to atlanta
atis_flight,a0BB0000002YkBMMA0,i would like to fly from atlanta to san diego
atis_flight,a0BB0000002YkBNMA0,i would like to fly from san diego to seattle
atis_flight,a0BB0000002YkBOMA0,i would like to fly from orlando to kansas city
atis_flight,a0BB0000002YkBPMA0,i need a flight from kansas city to minneapolis
atis_flight,a0BB0000002YkBQMA0,i need a flight from san diego to washington dc
atis_flight,a0BB0000002YkBRMA0,i need a flight from washington dc to san diego
atis_airfare,a0BB0000002YkBSMA0,what is the lowest fare for a flight from washington dc to boston
atis_airfare,a0BB0000002YkBTMA0,what is the lowest fare from washington dc to montreal
atis_airfare,a0BB0000002YkBUMA0,what is the lowest fare from toronto to washington dc
atis_flight,a0BB0000002YkBVMA0,i want a flight from montreal to washington dc
atis_flight,a0BB0000002YkBWMA0,i want a flight from nashville to seattle that arrives no later than 3 pm
atis_flight,a0BB0000002Yk7RMAS,show me flight us 1207 from indianapolis to charlotte on monday and flight us 1500 from charlotte to minneapolis on monday and flight twa 639 from minneapolis to indianapolis
atis_flight,a0BB0000002Yk7SMAS,show me all the flights from las vegas to new york city
atis_flight,a0BB0000002Yk7QMAS,show me the flights in from minneapolis to indianapolis on tuesday afternoon
atis_airline,a0BB0000002Yk7TMAS,which different airlines go from las vegas to new york city
atis_flight,a0BB0000002Yk7UMAS,show me all the flights on america west and twa from las vegas to jfk on a friday
atis_flight,a0BB0000002Yk7VMAS,what are the flights from tacoma to miami that leave after 6 pm tomorrow
atis_flight,a0BB0000002Yk7WMAS,i'd like to fly from san diego to houston on june tenth
atis_flight,a0BB0000002Yk7XMAS,is there an american airlines flight from houston to newark on june tenth after 6 pm
atis_flight,a0BB0000002Yk7YMAS,is there an american airlines flight from houston to newark on june tenth after 3 pm
atis_flight,a0BB0000002Yk7ZMAS,i need to get from cincinnati to denver on june sixth by 6 pm
atis_ground_service,a0BB0000002Yk7aMAC,what's the ground transportation in denver
atis_flight,a0BB0000002Yk7bMAC,i need to fly from denver to westchester county on june seventh after 3 pm
atis_ground_service,a0BB0000002Yk7cMAC,what's the ground transportation in westchester county
atis_flight,a0BB0000002Yk7dMAC,i need to take a united airlines flight on june eighth from westchester county to cincinnati after 3 pm
atis_flight,a0BB0000002Yk7eMAC,what united airlines flights on june eighth go from westchester county to cincinnati
atis_flight,a0BB0000002Yk7fMAC,on june eighth what flights go from westchester county to cincinnati
atis_flight,a0BB0000002Yk7gMAC,does us air fly from cincinnati to denver on june sixth
atis_flight,a0BB0000002Yk7hMAC,list the flights from cincinnati to denver on june sixth
atis_flight,a0BB0000002Yk7iMAC,list the flights from denver to westchester county on june seventh
atis_flight,a0BB0000002Yk7jMAC,list the flights from westchester county to cincinnati on june eighth
atis_flight,a0BB0000002Yk7kMAC,list the flights from cincinnati to westchester county on june sixth
atis_flight,a0BB0000002Yk7lMAC,list the flights from westchester county to denver on june seventh
atis_flight,a0BB0000002Yk7mMAC,list the flights from denver to cincinnati on june eighth
atis_flight,a0BB0000002Yk7nMAC,list the flights from denver to cincinnati on june sixth after 4 pm
atis_flight,a0BB0000002Yk7oMAC,list the flights from cincinnati to westchester county on june seventh
atis_flight,a0BB0000002Yk7pMAC,list the flights from westchester county to cincinnati on june seventh leaving after 5 pm
atis_airline,a0BB0000002Yk7qMAC,what airlines off from love field between 6 and 10 am on june sixth
atis_flight,a0BB0000002Yk7rMAC,what flights arrive at love field on june sixth
atis_airfare,a0BB0000002YkBvMAK,list fares from washington dc to montreal
atis_flight,a0BB0000002YkBXMA0,i want a flight from memphis to seattle that arrives no later than 3 pm
atis_flight,a0BB0000002YkBYMA0,i need a flight from indianapolis to seattle arriving in seattle at 1205 pm
atis_flight,a0BB0000002YkBZMA0,i want a flight round trip from memphis to seattle
atis_flight,a0BB0000002YkBwMAK,list flights from washington dc to montreal
atis_flight,a0BB0000002YkBaMAK,i want to fly from nashville to seattle and i want the cheapest fare round trip
atis_flight,a0BB0000002YkBbMAK,i want to fly from memphis to seattle round trip with the cheapest fare
atis_flight,a0BB0000002YkBcMAK,i want to fly from indianapolis to seattle round trip with the cheapest fare
atis_airfare,a0BB0000002YkBxMAK,list fares from washington dc to toronto that should be good
atis_flight,a0BB0000002YkBdMAK,please list flights from orlando to philadelphia
atis_flight,a0BB0000002YkBeMAK,please list flights from san francisco to charlotte
atis_flight,a0BB0000002YkBfMAK,please list flights from milwaukee to philadelphia
atis_airfare,a0BB0000002YkByMAK,list fares from washington dc to boston
atis_flight,a0BB0000002YkBgMAK,please list flights from philadelphia to san francisco
atis_ground_service,a0BB0000002YkBhMAK,please show ground transportation to milwaukee
atis_flight,a0BB0000002YkBiMAK,please list flights from san francisco to milwaukee
atis_flight,a0BB0000002YkBjMAK,list flights from houston to denver
atis_flight,a0BB0000002YkBkMAK,list flights from houston to phoenix
atis_flight,a0BB0000002YkBlMAK,list flights from phoenix to houston
atis_flight,a0BB0000002YkBmMAK,list flights from newark to houston
atis_flight,a0BB0000002YkBnMAK,show flights from denver to houston
atis_flight,a0BB0000002YkBoMAK,show flights from st. petersburg to charlotte
atis_flight,a0BB0000002YkBpMAK,show flights from orlando to kansas city
atis_flight,a0BB0000002YkBqMAK,show flights from kansas city to minneapolis
atis_flight,a0BB0000002YkBrMAK,show flights from kansas city to orlando
atis_flight,a0BB0000002YkBsMAK,show flights from minneapolis to kansas city
atis_flight,a0BB0000002YkBtMAK,show flights from kansas city to orlando
atis_flight,a0BB0000002YkBuMAK,list flights from washington dc to boston
atis_flight,a0BB0000002YkBzMAK,list flights from washington dc to montreal
atis_flight,a0BB0000002YkE0MAK,st. petersburg to detroit
atis_flight,a0BB0000002YkE1MAK,from milwaukee to orlando one way after 5 pm wednesday
atis_flight,a0BB0000002YkE2MAK,and from milwaukee to atlanta before 10 am daily
atis_airline,a0BB0000002YkE3MAK,what airline is yx
atis_flight,a0BB0000002YkE4MAK,show me all flights from san jose to phoenix
atis_flight,a0BB0000002YkE5MAK,show me all flights from san jose to phoenix
atis_airline,a0BB0000002YkE6MAK,what airline is hp
atis_ground_service,a0BB0000002YkE7MAK,show me ground transportation in phoenix
atis_flight,a0BB0000002YkE8MAK,show me flights from phoenix to fort worth
atis_ground_service,a0BB0000002YkE9MAK,show me ground transportation in fort worth
atis_flight,a0BB0000002YkEAMA0,show me flights from fort worth to san jose
atis_flight,a0BB0000002YkEBMA0,show me first class flights from new york to miami round trip
atis_flight,a0BB0000002YkECMA0,show me first class flights from new york to miami round trip
atis_flight,a0BB0000002YkEDMA0,show me all round trip flights from new york to miami nonstop
atis_flight,a0BB0000002YkEEMA0,show me all round trip flights from miami to new york nonstop
atis_flight,a0BB0000002YkEFMA0,show me one way flights from indianapolis to memphis before 10 am on any day
atis_abbreviation,a0BB0000002YkEGMA0,what does fare code f mean
atis_flight,a0BB0000002YkEHMA0,show me round trip flights from burbank to tacoma
atis_abbreviation,a0BB0000002YkEIMA0,what does the restriction ap58 mean
atis_abbreviation,a0BB0000002YkEJMA0,what does fare code h mean
atis_airline,a0BB0000002YkEKMA0,what airline is as
atis_airline,a0BB0000002YkELMA0,what airline is as
atis_airline,a0BB0000002YkEMMA0,what airline is as
atis_airline,a0BB0000002YkENMA0,what airline is as as in sam
atis_flight,a0BB0000002YkEOMA0,show me nonstop flights from st. petersburg to toronto
atis_flight,a0BB0000002YkEPMA0,show me nonstop flights from toronto to st. petersburg
atis_flight,a0BB0000002Yk7sMAC,list the flights from montreal to philly before 9 am
atis_flight,a0BB0000002Yk7tMAC,list the flights from cleveland to memphis
atis_flight,a0BB0000002Yk7uMAC,list the flights from memphis to cleveland
atis_flight,a0BB0000002Yk7vMAC,list the flights from denver to baltimore arriving on july first
atis_flight,a0BB0000002Yk7wMAC,list the flights from dallas to baltimore arriving july first
atis_flight,a0BB0000002Yk7xMAC,list the flights from pittsburgh to baltimore arriving on july first
atis_flight,a0BB0000002Yk7yMAC,list the flights on canadian airlines international
atis_quantity,a0BB0000002Yk7zMAC,how many canadian airlines international flights use j31
atis_quantity,a0BB0000002Yk80MAC,how many canadian airlines international flights use aircraft 320
atis_quantity,a0BB0000002Yk81MAC,how many canadian airlines flights use aircraft dh8
atis_flight,a0BB0000002Yk82MAC,show me the flights on american airlines which fly from st. petersburg to ontario canada with a stopover in st. louis
atis_flight,a0BB0000002Yk83MAC,show me the flights on american airlines which go from st. petersburg to ontario california by way of st. louis
atis_flight,a0BB0000002Yk84MAC,show me the flights from houston to orlando
atis_flight,a0BB0000002Yk85MAC,show me the flights from orlando to houston
atis_flight,a0BB0000002Yk86MAC,show me the flights from detroit to las vegas
atis_airfare,a0BB0000002Yk87MAC,show me the cheapest round trip coach fare from las vegas to detroit
atis_airfare,a0BB0000002Yk88MAC,show me the cheapest round trip coach fare on twa from las vegas to detroit
atis_flight,a0BB0000002Yk89MAC,show me the delta flights which serve a snack to coach passengers
atis_abbreviation,a0BB0000002Yk8AMAS,what is meal code sb
atis_flight,a0BB0000002Yk8BMAS,show me the delta flights from tampa to san francisco
atis_flight,a0BB0000002Yk8CMAS,show me delta flight 486
atis_flight,a0BB0000002Yk8DMAS,list the tower air flights on mondays
atis_flight,a0BB0000002Yk8EMAS,list all tower air flights with meals
atis_flight,a0BB0000002Yk8FMAS,what flights depart from baltimore
atis_flight,a0BB0000002Yk8GMAS,what flights depart from baltimore and arrive at san francisco on a friday
atis_flight,a0BB0000002Yk8HMAS,what flights leave from cincinnati in the morning and arrive in tampa
atis_flight,a0BB0000002Yk8IMAS,which flights depart from tampa and arrive in cincinnati in the evening
atis_flight,a0BB0000002Yk8JMAS,which flights depart from tampa in the early evening and arrive in cincinnati
atis_flight,a0BB0000002Yk8KMAS,which flights depart from philadelphia and arrive in atlanta
atis_flight,a0BB0000002Yk8LMAS,which flights depart from a atlanta and arrive in toronto
atis_flight,a0BB0000002Yk8MMAS,which flights depart from toronto and arrive in washington dc
atis_flight,a0BB0000002Yk8NMAS,which flights depart from new york and arrive in los angeles after 10 am
atis_airline,a0BB0000002Yk8OMAS,what airlines fly between washington dc and columbus ohio
atis_flight,a0BB0000002Yk8PMAS,what flights are there between washington dc and columbus ohio
atis_flight,a0BB0000002Yk8QMAS,what are the flights between washington dc and columbus ohio
atis_airfare,a0BB0000002Yk8RMAS,what are the fares for all flights between washington and columbus
atis_flight,a0BB0000002YkEQMA0,show me the nonstop flights from toronto to st. petersburg
atis_flight,a0BB0000002YkERMA0,show me weekday flights from milwaukee to orlando one way
atis_flight,a0BB0000002YkESMA0,show me weekday flights from milwaukee to orlando one way
atis_airline,a0BB0000002YkETMA0,what airline is hp
atis_flight,a0BB0000002YkEUMA0,list flights from chicago to san diego
atis_flight,a0BB0000002YkEVMA0,list flights from chicago to san diego
atis_flight,a0BB0000002YkEWMA0,list flights from kansas city to denver
atis_flight,a0BB0000002YkEXMA0,list flights from denver to phoenix
atis_flight,a0BB0000002YkEYMA0,list flights from phoenix to las vegas
atis_flight,a0BB0000002YkEZMA0,list flights from las vegas to san diego
atis_flight,a0BB0000002YkEaMAK,list flights from chicago to kansas city in the morning
atis_flight,a0BB0000002YkEbMAK,list flights from houston to san jose
atis_flight,a0BB0000002YkEcMAK,list flights from houston to milwaukee
atis_flight,a0BB0000002YkEdMAK,list flights from milwaukee to san jose on wednesday
atis_flight,a0BB0000002YkEeMAK,list flights from san jose to dallas on friday
atis_flight,a0BB0000002YkEfMAK,list flights from dallas to houston
atis_flight,a0BB0000002YkEgMAK,list flights from new york to la
atis_flight,a0BB0000002YkEhMAK,list flights from la guardia to burbank
atis_flight,a0BB0000002YkEiMAK,list flights from la to orlando
atis_flight,a0BB0000002YkEjMAK,list flights from ontario california to orlando
atis_flight,a0BB0000002YkEkMAK,list flights from ontario california to orlando
atis_flight,a0BB0000002YkElMAK,list flights from indianapolis to memphis with fares on monday
atis_flight,a0BB0000002YkEmMAK,list flights from indianapolis to memphis on monday
atis_flight,a0BB0000002YkEnMAK,list flights from memphis to miami on wednesday
atis_flight,a0BB0000002YkEoMAK,list flights from miami to indianapolis on sunday
atis_flight,a0BB0000002YkEpMAK,list flights from charlotte on saturday afternoon
atis_aircraft,a0BB0000002YkEqMAK,list type of aircraft for all flights from charlotte
atis_abbreviation,a0BB0000002YkErMAK,what class is fare code q
atis_flight,a0BB0000002YkEsMAK,list flights from orlando to tacoma on saturday of fare basis code of q
atis_airfare,a0BB0000002YkEtMAK,list airfares for first class round trip from detroit to st. petersburg
atis_airfare,a0BB0000002YkEuMAK,list coach round trip airfare from detroit to st. petersburg
atis_flight,a0BB0000002YkEvMAK,list flights from pittsburgh to newark on monday morning
atis_flight,a0BB0000002YkEwMAK,list flights from minneapolis to pittsburgh on friday
atis_flight,a0BB0000002YkExMAK,list flights before 9 am from cincinnati to tampa
atis_flight,a0BB0000002YkEyMAK,list flights from cincinnati to tampa before noon
atis_flight,a0BB0000002YkEzMAK,list flights from tampa to cincinnati after 3 pm
atis_aircraft,a0BB0000002Yk8SMAS,at the charlotte airport how many different types of aircraft are there for us air
atis_flight,a0BB0000002Yk8TMAS,list all us air flights arriving in charlotte on saturday at 1 pm
atis_airfare,a0BB0000002Yk8UMAS,what is the first class round trip airfare from india indianapolis to memphis
atis_flight,a0BB0000002Yk8kMAC,list flights from atlanta to toronto friday afternoon
atis_flight,a0BB0000002Yk8VMAS,list all flights from memphis to miami
atis_flight,a0BB0000002Yk8WMAS,list all flights from cleveland to kansas city on monday
atis_flight,a0BB0000002Yk8XMAS,list all flights from kansas city to cleveland
atis_flight,a0BB0000002Yk8lMAC,list flights from toronto to washington dc saturday am
atis_flight,a0BB0000002Yk8YMAS,list all flights from cleveland to nashville
atis_flight,a0BB0000002Yk8ZMAS,list all flights from nashville to cleveland on sunday
atis_airline,a0BB0000002Yk8aMAC,what airlines are departing from baltimore
atis_flight,a0BB0000002Yk8mMAC,list flights from washington dc to philadelphia saturday pm
atis_airline,a0BB0000002Yk8bMAC,which airlines fly from baltimore to san francisco
atis_flight,a0BB0000002Yk8cMAC,which flights are leaving from kansas city to atlanta early monday morning
atis_flight,a0BB0000002Yk8dMAC,which flights are leaving atlanta and arriving in st. louis close to 230 pm on tuesday
atis_flight,a0BB0000002Yk8nMAC,list direct flights from new york city to los angeles after 10 am
atis_flight,a0BB0000002Yk8eMAC,please list flights from st. louis to st. paul which depart after 10 am thursday morning
atis_flight,a0BB0000002Yk8fMAC,list flights from st. paul to kansas city friday in the evening with a meal included
atis_flight,a0BB0000002Yk8gMAC,list early morning flights from cincinnati to tampa
atis_flight,a0BB0000002Yk8hMAC,list early evening flights from tampa to cincinnati
atis_flight,a0BB0000002Yk8iMAC,list evening flights from tampa to cincinnati
atis_flight,a0BB0000002Yk8jMAC,list flights from philadelphia to atlanta friday am
atis_abbreviation,a0BB0000002Yk8oMAC,what is fare code m
atis_flight,a0BB0000002Yk8pMAC,list american airlines flights from houston to milwaukee departing friday pm
atis_flight,a0BB0000002Yk8qMAC,list flights from houston to milwaukee friday pm
atis_flight,a0BB0000002Yk8rMAC,list american airlines flights from milwaukee to san jose wednesday
atis_flight,a0BB0000002Yk8sMAC,list american airlines flights from san jose to dallas friday afternoon
atis_flight,a0BB0000002Yk8tMAC,list flights from dallas to houston arriving sunday afternoon
atis_airline,a0BB0000002Yk8uMAC,list airlines flying from seattle to salt lake city
atis_flight,a0BB0000002Yk8vMAC,list flights from seattle to salt lake city on delta l10
atis_flight,a0BB0000002Yk8wMAC,list flights from seattle to salt lake city on delta be1
atis_flight,a0BB0000002Yk8xMAC,list flights from boston to pittsburgh daily
atis_flight,a0BB0000002Yk8yMAC,list flights from pittsburgh to newark daily
atis_flight,a0BB0000002Yk8zMAC,list flights from newark to boston daily
atis_flight,a0BB0000002Yk90MAC,list us air flights leaving saturday from charlotte airport at 1 pm
atis_flight,a0BB0000002Yk91MAC,list us air flights leaving saturday from charlotte airport around 1 pm
atis_airfare,a0BB0000002Yk92MAC,list first class airfare round trip from indianapolis to memphis
atis_airline,a0BB0000002YkF0MAK,list airlines that fly from seattle to salt lake city
atis_flight,a0BB0000002YkF1MAK,list delta flights from seattle to salt lake city
atis_flight,a0BB0000002YkF2MAK,list delta flights from seattle to salt lake city with aircraft type
atis_ground_service,a0BB0000002YkF3MAK,what ground transportation is there in baltimore
atis_ground_service,a0BB0000002YkF4MAK,list ground transportation in baltimore
atis_flight,a0BB0000002YkF5MAK,list flights from baltimore to san francisco on friday
atis_flight,a0BB0000002YkF6MAK,give me the flights from los angeles to pittsburgh on tuesday
atis_flight,a0BB0000002YkF7MAK,give me the flights from pittsburgh to los angeles thursday evening
atis_flight,a0BB0000002YkF8MAK,give me the round trip flights from cleveland to miami next wednesday
atis_airfare,a0BB0000002YkF9MAK,give me the fares for round trip flights from cleveland to miami next wednesday
